MethodID,Size,RMSE,PSNR
8,23,0.11298902682248248,67.07007824730233
8,24,0.11233440503553442,67.12054781939062
8,25,0.13002591388354093,65.85020531099198
8,26,0.12755765521381235,66.01667306127166
8,27,0.12723826152267445,66.03844907590269
8,28,0.1203353265683544,66.52294079064316
8,29,0.12128261481453144,66.45483257588778
8,30,0.12060975184280637,66.5031551308223
8,31,0.13022135351569009,65.83715950719285
8,32,0.12737809480620416,66.0289086315409
8,33,0.12428588332659037,66.24236754293007
8,34,0.1411845061564683,65.1350628273317
8,35,0.14073346511446735,65.16285599027259
8,36,0.1401540145213769,65.19869276767896
8,37,0.14134652859491573,65.1251006709636
8,38,0.14165206534741207,65.10634538665832
8,39,0.14356022346185127,64.9901210952303
8,40,0.16463503769860421,63.8003582597036
8,41,0.1656360550555796,63.747706040943996
8,42,0.1653133122617096,63.76464705642577
8,43,0.15852831162267988,64.12866692321855
8,44,0.1579980345012241,64.15776992156306
8,45,0.15953576450517296,64.07364245189889
8,46,0.1708658823158776,63.47769653813298
8,47,0.16895001649279787,63.5756388385495
8,48,0.16812008686284585,63.61841149425893
8,49,0.172037683424967,63.418331890178614
8,50,0.1710889934650848,63.46636218245461
8,51,0.1710889934650848,63.46636218245461
8,52,0.18091462776420955,62.981329949708666
8,53,0.18050651210263394,63.00094611883469
8,54,0.18112536124015047,62.97121831576004
8,55,0.17879363267727824,63.08376264189295
8,56,0.17913467949684533,63.06721018805288
8,57,0.18098489951972974,62.977956788514604
8,58,0.18848752531804547,62.62515135761071
8,59,0.18828503194680224,62.634487681132626
8,60,0.18828503194680224,62.634487681132626
8,61,0.18703827698439607,62.69219374725277
8,62,0.18620702192189434,62.730882522128155
8,63,0.1838567486834746,62.841212092685794
8,64,0.19557274328665195,62.3046370561963
8,65,0.19390115071860714,62.37919587999222
8,66,0.1927303267292043,62.43180245569822
8,67,0.19015321142464084,62.54873031983035
8,68,0.18885146624287388,62.60839638789514
8,69,0.1858515864190542,62.747478157445265
8,70,0.1958975612206224,62.290223020996635
8,71,0.1958975612206224,62.290223020996635
8,72,0.19485623790507922,62.33651734150228
8,73,0.21341856843199586,61.54615956026221
8,74,0.21498574852839084,61.48261018158753
8,75,0.2153993762201777,61.465914783063525
8,76,0.2063175591687585,61.84007978352717
8,77,0.20511842361995017,61.890710204614045
8,78,0.2051804060417015,61.88808591012424
8,79,0.20579920353217881,61.86192981552974
8,80,0.20579920353217881,61.86192981552974
8,81,0.2063791814511782,61.83748589656061
8,82,0.20607088576734342,61.850470851575665
8,83,0.20719087792620924,61.80339099585617
8,84,0.20700668093209174,61.81111636667896
8,85,0.21604776264101302,61.43980814506931
8,86,0.2150921859052532,61.47831094531593
8,87,0.2150921859052532,61.47831094531593
8,88,0.21474903215124355,61.49217930481341
8,89,0.21254690811922355,61.58170777373614
8,90,0.21139514398642573,61.6289034728197
8,91,0.22979465329352566,60.90400521668442
8,92,0.22979465329352566,60.90400521668442
8,93,0.2290741704905586,60.93128115669596
8,94,0.22888536238602794,60.938443215061
